id,visitors
air_00a91d42b08b08d9_2017-04-23,27.956029891967773
air_00a91d42b08b08d9_2017-04-24,22.88463592529297
air_00a91d42b08b08d9_2017-04-25,26.400413513183594
air_00a91d42b08b08d9_2017-04-26,30.693449020385742
air_00a91d42b08b08d9_2017-04-27,31.823261260986328
air_00a91d42b08b08d9_2017-04-28,39.26044464111328
air_00a91d42b08b08d9_2017-04-29,12.279882431030273
air_00a91d42b08b08d9_2017-04-30,26.747827529907227
air_00a91d42b08b08d9_2017-05-01,22.301197052001953
air_00a91d42b08b08d9_2017-05-02,26.316556930541992
air_00a91d42b08b08d9_2017-05-03,33.73611068725586
air_00a91d42b08b08d9_2017-05-04,33.59618377685547
air_00a91d42b08b08d9_2017-05-05,39.05781555175781
air_00a91d42b08b08d9_2017-05-06,11.26619815826416
air_00a91d42b08b08d9_2017-05-07,26.536291122436523
air_00a91d42b08b08d9_2017-05-08,22.52306365966797
air_00a91d42b08b08d9_2017-05-09,26.152273178100586
air_00a91d42b08b08d9_2017-05-10,30.164854049682617
air_00a91d42b08b08d9_2017-05-11,31.806991577148438
air_00a91d42b08b08d9_2017-05-12,38.888919830322266
air_00a91d42b08b08d9_2017-05-13,11.260017395019531
air_00a91d42b08b08d9_2017-05-14,26.91561508178711
air_00a91d42b08b08d9_2017-05-15,22.796947479248047
air_00a91d42b08b08d9_2017-05-16,26.54608726501465
air_00a91d42b08b08d9_2017-05-17,30.508506774902344
air_00a91d42b08b08d9_2017-05-18,32.15622329711914
air_00a91d42b08b08d9_2017-05-19,39.41500473022461
air_00a91d42b08b08d9_2017-05-20,11.35272216796875
air_00a91d42b08b08d9_2017-05-21,26.993587493896484
air_00a91d42b08b08d9_2017-05-22,22.486705780029297
air_00a91d42b08b08d9_2017-05-23,26.504375457763672
air_00a91d42b08b08d9_2017-05-24,30.4143009185791
air_00a91d42b08b08d9_2017-05-25,32.259124755859375
air_00a91d42b08b08d9_2017-05-26,39.59872817993164
air_00a91d42b08b08d9_2017-05-27,11.587209701538086
air_00a91d42b08b08d9_2017-05-28,27.25209617614746
air_00a91d42b08b08d9_2017-05-29,23.302724838256836
air_00a91d42b08b08d9_2017-05-30,27.070472717285156
air_00a91d42b08b08d9_2017-05-31,30.36587905883789
air_0164b9927d20bcc3_2017-04-23,4.011502265930176
air_0164b9927d20bcc3_2017-04-24,3.8853373527526855
air_0164b9927d20bcc3_2017-04-25,6.2842116355896
air_0164b9927d20bcc3_2017-04-26,5.574913501739502
air_0164b9927d20bcc3_2017-04-27,7.27992057800293
air_0164b9927d20bcc3_2017-04-28,6.778814792633057
air_0164b9927d20bcc3_2017-04-29,3.047741413116455
air_0164b9927d20bcc3_2017-04-30,5.464082717895508
air_0164b9927d20bcc3_2017-05-01,5.166521072387695
air_0164b9927d20bcc3_2017-05-02,6.154435634613037
air_0164b9927d20bcc3_2017-05-03,3.625189781188965
air_0164b9927d20bcc3_2017-05-04,3.5196614265441895
air_0164b9927d20bcc3_2017-05-05,6.887962818145752
air_0164b9927d20bcc3_2017-05-06,2.9507339000701904
air_0164b9927d20bcc3_2017-05-07,6.437537670135498
air_0164b9927d20bcc3_2017-05-08,4.083219528198242
air_0164b9927d20bcc3_2017-05-09,7.518831253051758
air_0164b9927d20bcc3_2017-05-10,7.014799118041992
air_0164b9927d20bcc3_2017-05-11,6.766632080078125
air_0164b9927d20bcc3_2017-05-12,7.908150672912598
air_0164b9927d20bcc3_2017-05-13,10.852761268615723
air_0164b9927d20bcc3_2017-05-14,8.157636642456055
air_0164b9927d20bcc3_2017-05-15,5.08414888381958
air_0164b9927d20bcc3_2017-05-16,6.448120594024658
air_0164b9927d20bcc3_2017-05-17,6.403462886810303
air_0164b9927d20bcc3_2017-05-18,6.688755512237549
air_0164b9927d20bcc3_2017-05-19,7.644685745239258
air_0164b9927d20bcc3_2017-05-20,3.449456214904785
air_0164b9927d20bcc3_2017-05-21,6.071699619293213
air_0164b9927d20bcc3_2017-05-22,4.6152663230896
air_0164b9927d20bcc3_2017-05-23,6.039776802062988
air_0164b9927d20bcc3_2017-05-24,5.890369892120361
air_0164b9927d20bcc3_2017-05-25,6.580914497375488
air_0164b9927d20bcc3_2017-05-26,7.532571792602539
air_0164b9927d20bcc3_2017-05-27,3.6066842079162598
air_0164b9927d20bcc3_2017-05-28,6.44263219833374
air_0164b9927d20bcc3_2017-05-29,4.63461971282959
